Descriptive Statistics,,,,,,,,
,,,,,,,,
count,mean,std,min,0.25,0.5,0.75,max,
RowNumber,10002,5001.5,2887.472338,1,2501.25,5001.5,7501.75,10000
CustomerId,10002,15690930,71931.76935,15565701,15628524.75,15690732,15753230,15815690
CreditScore,10002,650.5551,96.661615,350,584,652,718,850
Age,10001,38.92231,10.4872,18,32,37,44,92
Tenure,10002,5.012498,2.891973,0,3,5,7,10
Balance,10002,76491.11,62393.47414,0,0,97198.54,127647.8,250898.09
NumOfProducts,10002,1.530194,0.581639,1,1,1,2,4
HasCrCard,10001,0.7055294,0.455827,0,0,1,1,1
IsActiveMember,10001,0.5149485,0.499801,0,0,1,1,1
EstimatedSalary,10002,100083.3,57508.1178,11.58,50983.75,100185.24,149383.7,199992.48
Exited,10002,0.2037592,0.402812,0,0,0,0,1
,,,,,,,,
No of people who have exited,,,,,,,,
,,,,,,,,
,proportion,,,,,,,
Exited,,,,,,,,
0,0.796241,,,,,,,
1,0.203759,,,,,,,
,,,,,,,,
,,,,,,,,
Model,Accuracy,Precision,Recall,F1,ROC AUC,,,
Logistic Regression,0.710145,0.384409,0.70098,0.496528,0.771197,,,
Random Forest,0.842579,0.622691,0.578431,0.599746,0.849999,,,
XGBoost,0.854073,0.648718,0.620098,0.634085,0.864473,,,
